archetype,n_store_days,engine_match_accuracy,baseline_match_accuracy,engine_mean_abs_pct_error,baseline_mean_abs_pct_error,engine_overstaffed_hours,engine_understaffed_hours,baseline_overstaffed_hours,baseline_understaffed_hours,engine_mismatch_hours,baseline_mismatch_hours,mismatch_hours_reduction_pct,match_accuracy_improvement_pp,total_shipments_in_backtest,engine_scheduled_labour_cost_aed,baseline_scheduled_labour_cost_aed,engine_labour_cost_per_shipment_aed,baseline_labour_cost_per_shipment_aed,scheduled_labour_cost_per_shipment_reduction_aed,engine_full_coverage_cost_per_shipment_aed,baseline_full_coverage_cost_per_shipment_aed,full_coverage_cost_per_shipment_reduction_aed
industrial_b2b,308.0,0.908257868957743,0.6639602012690577,0.09174213104225694,0.3360397987309423,1158.8712564133157,1337.2695680706358,0.0,9522.329699831249,2496.1408244839513,9522.329699831249,0.7378644824146147,24.42976676886852,104921.0,598547.868691087,392981.3781512605,5.704748036056528,3.745497833143608,-1.9592502029129197,6.1693211506491705,7.053595521488639,0.8842743708394689
mixed,462.0,0.9059072281031151,0.8969495981335994,0.09409277189688499,0.1030504018664005,952.5451915045937,1027.3237083880203,901.5982595140222,1305.2781859193972,1979.8688998926145,2206.8764454334196,0.10286373122996562,0.8957629969515657,122950.0,469020.1671439366,461784.33613445377,3.814722790922624,3.7558709730333777,-0.058851817889246316,4.11928520792745,4.142836323800047,0.023551115872597173
suburban,616.0,0.9037110725546196,0.8816420172341154,0.09628892744538042,0.11835798276588458,1957.6223998727282,2291.3402007185564,975.3088193541604,4699.543950938294,4248.962600591284,5674.852770292455,0.25126469838400534,2.2069055320504183,240718.0,975584.4569064948,900993.075630252,4.052810578795499,3.7429401857370532,-0.30987039305844544,4.399769885188006,4.454554510431097,0.05478462524309169
urban_dense,462.0,0.9131160855461398,0.6991201023999473,0.0868839144538603,0.30095159788329234,1641.831432539209,1863.8817215527183,11309.82474694962,97.52198308790582,3505.713154091927,11407.346730037527,0.692679355063279,21.39959831461925,302707.0,883523.3588871653,1135079.1260504203,2.9187410891957084,3.74976173676334,0.8310206475676316,3.1431775533362685,3.7615046970634127,0.6183271437271443
