store_id,n_store_days,engine_match_accuracy,baseline_match_accuracy,engine_mean_abs_pct_error,baseline_mean_abs_pct_error,engine_overstaffed_hours,engine_understaffed_hours,baseline_overstaffed_hours,baseline_understaffed_hours,engine_mismatch_hours,baseline_mismatch_hours,mismatch_hours_reduction_pct,match_accuracy_improvement_pp,total_shipments_in_backtest,engine_scheduled_labour_cost_aed,baseline_scheduled_labour_cost_aed,engine_labour_cost_per_shipment_aed,baseline_labour_cost_per_shipment_aed,scheduled_labour_cost_per_shipment_reduction_aed,engine_full_coverage_cost_per_shipment_aed,baseline_full_coverage_cost_per_shipment_aed,full_coverage_cost_per_shipment_reduction_aed
AAN-01,154.0,0.8943200220764015,0.8906789789374989,0.10567997792359847,0.10932102106250108,300.1580956926382,333.8715049914489,274.20322405192974,399.8462622371461,634.029600684087,674.0494862890758,0.05937232565121453,0.36410431389025666,35168.0,133885.04007079505,131862.58823529413,3.80701319582561,3.7495048975004015,-0.05750829832520843,4.153055517167123,4.16392699311414,0.01087147594701765
AUH-01,154.0,0.9252206872416535,0.703045669096769,0.07477931275834643,0.29695433090323103,407.3812376539526,494.8606470985959,3289.8021326669477,36.56388703369964,902.2418847525486,3326.3660197006475,0.7287604913563466,22.21750181448845,88777.0,258625.21999164773,332121.0084033613,2.9132007163076894,3.7410704169251194,0.82786970061743,3.1163802626625317,3.7560827926798566,0.6397025300173249
AUH-02,154.0,0.9077682525807058,0.8844212701584296,0.09223174741929407,0.11557872984157042,498.0246324358005,608.5988147794615,232.84004756860028,1254.717961829762,1106.623447215262,1487.5580093983624,0.2560804753672551,2.3346982422276175,65180.0,263717.5224383195,243668.84033613445,4.045988377390604,3.7383989005236953,-0.3075894768669083,4.386329383814527,4.44006305683997,0.05373367302544363
AUH-03,154.0,0.8967440917610228,0.6648047894397806,0.10325590823897715,0.3351952105602194,600.3814431452095,691.2118929721989,0.0,4340.640188769587,1291.5933361174084,4340.640188769587,0.7024417413221418,23.193930232124217,47761.0,272252.7890466531,178756.97478991596,5.700315928197758,3.7427393645425338,-1.9575765636552238,6.227831547611853,7.055407333819798,0.8275757862079454
DXB-01,154.0,0.908826612845244,0.699083421747531,0.091173387154756,0.300916578252469,655.4452282941573,716.1772163226344,4279.477502796561,25.267324238687962,1371.6224446167917,4304.744827035248,0.6813696282291716,20.9743191097713,114156.0,333697.96141073055,428626.6890756303,2.9231749659302233,3.7547451651742376,0.8315701992440143,3.151850283346391,3.7628130194131755,0.6109627360667846
DXB-02,154.0,0.9053009565515213,0.6952312163555416,0.09469904344847846,0.30498388449417707,579.0049665910987,652.8438581314878,3740.5451114861107,35.69077181551822,1231.8488247225864,3776.2358833016287,0.6737892274765528,21.00697401959797,99774.0,291200.17748478695,374331.4285714285,2.918597805889179,3.751793338659656,0.833195532770477,3.1570984035287717,3.7648320925702503,0.6077336890414786
DXB-03,154.0,0.9068854495859908,0.8785561230826151,0.0931145504140091,0.12144387691738476,585.0733802648849,716.8993357992283,302.70379524358776,1498.4164339286635,1301.9727160641132,1801.1202291722516,0.2771317011621893,2.832932650337572,75874.0,306916.9019872993,283511.3949579832,4.045086617119162,3.7366079942797694,-0.308478622839393,4.389486290128123,4.456449824375715,0.06696353424759227
DXB-04,154.0,0.9197716461544632,0.6631156130983348,0.08022835384553675,0.3368843869016652,558.4898132681062,646.0576750984369,0.0,5181.6895110616615,1204.547488366543,5181.6895110616615,0.7675376948396612,25.665603305612837,57160.0,326295.0796444338,214224.40336134454,5.70845135837008,3.747802718008127,-1.9606486403619536,6.120431803739885,7.052081631202626,0.9316498274627412
FUJ-01,154.0,0.9016625678064595,0.8901486750060663,0.09833743219354059,0.10985132499393381,244.81300295642265,247.64347929841307,97.16216970530306,493.16028472978707,492.45648225483575,590.3224544350901,0.16578392274423526,1.1513892800393166,27353.0,111628.51158042662,102978.82352941178,4.081033582438001,3.7648091079374026,-0.316224474500598,4.41103778016502,4.421983545052188,0.010945764887168252
RAK-01,154.0,0.9143084056891287,0.8987501929115117,0.08569159431087141,0.1012498070884883,232.55727240186138,249.00071590502327,238.88243455228329,341.0634412717694,481.5579883068847,579.9458758240528,0.16965012015538083,1.5558212777617042,32411.0,123710.89865966671,121824.67226890757,3.816941737671368,3.7587446320356537,-0.05819710563571423,4.096972470902003,4.142310780391336,0.04533830948933293
SHJ-01,154.0,0.898528020245322,0.8734420006893507,0.10147197975467794,0.12655799931064932,629.71138421562,718.1985708414535,342.6028068366693,1453.2492704500814,1347.9099550570736,1795.852077286751,0.24943152495413057,2.508601955597123,72311.0,293321.52090044937,270834.0168067227,4.056388667014001,3.7454054957990164,-0.3109831712149842,4.418412949725773,4.477948759035667,0.059535809309894105
SHJ-02,154.0,0.9090932565438151,0.901419622551788,0.09090674345618509,0.09858037744821214,419.8298234100942,444.4514874915483,388.51260090980924,564.3684824104815,864.2813109016425,952.8810833202908,0.09298093326601109,0.767363399202714,55371.0,211424.22841347492,208097.07563025213,3.818320572384008,3.7582322087419793,-0.06008836364202885,4.110897132660451,4.12974854732828,0.018851414667828692
